met,metName,degree,keggID,hmdbID,stringsAsFactors,compartment,met_no_compartment,met_Rid,ID
h[c],proton,1210,C00282,HMDB01362,FALSE,[c],h,h.c.,HMDB0001362
h2o[c],Water,868,C00001,HMDB02111,FALSE,[c],h2o,h2o.c.,HMDB0002111
na1[c],Sodium,483,C01330,HMDB00588,FALSE,[c],na1,na1.c.,HMDB0000588
na1[e],Sodium,479,C01330,HMDB00588,FALSE,[e],na1,na1.e.,HMDB0000588
h[m],proton,448,C00282,HMDB01362,FALSE,[m],h,h.m.,HMDB0001362
atp[c],ATP,380,C00002,HMDB00538,FALSE,[c],atp,atp.c.,HMDB0000538
h[r],proton,291,C00282,HMDB01362,FALSE,[r],h,h.r.,HMDB0001362
pi[c],hydrogenphosphate,288,C00009,HMDB00973,FALSE,[c],pi,pi.c.,HMDB0001429
h2o[m],Water,284,C00001,HMDB02111,FALSE,[m],h2o,h2o.m.,HMDB0002111
adp[c],ADP,278,C00008,HMDB01341,FALSE,[c],adp,adp.c.,HMDB0001341
nadp[c],Nicotinamide adenine dinucleotide phosphate,269,C00006,HMDB00217,FALSE,[c],nadp,nadp.c.,HMDB0000217
nadph[c],Nicotinamide adenine dinucleotide phosphate - reduced,267,C00005,HMDB00221,FALSE,[c],nadph,nadph.c.,HMDB0000221
coa[c],Coenzyme A,266,C00010,HMDB01423,FALSE,[c],coa,coa.c.,HMDB0001423
o2[c],O2,243,C00007,HMDB01377,FALSE,[c],o2,o2.c.,HMDB0001377
hco3[c],Bicarbonate,243,C00288,HMDB00595,FALSE,[c],hco3,hco3.c.,HMDB0000595
h[g],proton,243,C00282,HMDB01362,FALSE,[g],h,h.g.,HMDB0001362
hco3[e],Bicarbonate,241,C00288,HMDB00595,FALSE,[e],hco3,hco3.e.,HMDB0000595
coa[m],Coenzyme A,225,C00010,HMDB01423,FALSE,[m],coa,coa.m.,HMDB0001423
h2o[l],Water,219,C00001,HMDB02111,FALSE,[l],h2o,h2o.l.,HMDB0002111
h2o[r],Water,198,C00001,HMDB02111,FALSE,[r],h2o,h2o.r.,HMDB0002111
nad[m],Nicotinamide adenine dinucleotide,177,C00003,HMDB00902,FALSE,[m],nad,nad.m.,HMDB0000902
nadh[m],Nicotinamide adenine dinucleotide - reduced,175,C00004,HMDB01487,FALSE,[m],nadh,nadh.m.,HMDB0001487
h[x],proton,167,C00282,HMDB01362,FALSE,[x],h,h.x.,HMDB0001362
h2o[x],Water,165,C00001,HMDB02111,FALSE,[x],h2o,h2o.x.,HMDB0002111
ppi[c],Diphosphate,157,C00013,HMDB00250,FALSE,[c],ppi,ppi.c.,HMDB0000250
nad[c],Nicotinamide adenine dinucleotide,155,C00003,HMDB00902,FALSE,[c],nad,nad.c.,HMDB0000902
nadh[c],Nicotinamide adenine dinucleotide - reduced,150,C00004,HMDB01487,FALSE,[c],nadh,nadh.c.,HMDB0001487
nadph[r],Nicotinamide adenine dinucleotide phosphate - reduced,147,C00005,HMDB00221,FALSE,[r],nadph,nadph.r.,HMDB0000221
nadp[r],Nicotinamide adenine dinucleotide phosphate,147,C00006,HMDB00217,FALSE,[r],nadp,nadp.r.,HMDB0000217
coa[x],Coenzyme A,146,C00010,HMDB01423,FALSE,[x],coa,coa.x.,HMDB0001423
amp[c],AMP,129,C00020,HMDB00045,FALSE,[c],amp,amp.c.,HMDB0000045
fad[m],Flavin adenine dinucleotide oxidized,128,C00016,HMDB01248,FALSE,[m],fad,fad.m.,HMDB0001248
fadh2[m],Flavin adenine dinucleotide reduced,127,C01352,HMDB01197,FALSE,[m],fadh2,fadh2.m.,HMDB0001197
accoa[m],Acetyl-CoA,124,C00024,HMDB01206,FALSE,[m],accoa,accoa.m.,HMDB0001206
h[e],proton,122,C00282,HMDB01362,FALSE,[e],h,h.e.,HMDB0001362
udp[g],UDP,122,C00015,HMDB00295,FALSE,[g],udp,udp.g.,HMDB0000295
gly[c],Glycine,121,C00037,HMDB00123,FALSE,[c],gly,gly.c.,HMDB0000123
crn[c],L-Carnitine,119,C15025,HMDB00062,FALSE,[c],crn,crn.c.,HMDB0000062
h2o[e],Water,116,C00001,HMDB02111,FALSE,[e],h2o,h2o.e.,HMDB0002111
ala_L[c],L-alanine,114,C00041,HMDB00161,FALSE,[c],ala_L,ala_L.c.,HMDB0000161
nadph[m],Nicotinamide adenine dinucleotide phosphate - reduced,111,C00005,HMDB00221,FALSE,[m],nadph,nadph.m.,HMDB0000221
nadp[m],Nicotinamide adenine dinucleotide phosphate,111,C00006,HMDB00217,FALSE,[m],nadp,nadp.m.,HMDB0000217
gln_L[c],L-glutamine,111,C00064,HMDB00641,FALSE,[c],gln_L,gln_L.c.,HMDB0000641
ser_L[c],L-serine,111,C00065,HMDB00187,FALSE,[c],ser_L,ser_L.c.,HMDB0000187
phe_L[c],L-phenylalanine,111,C00079,HMDB00159,FALSE,[c],phe_L,phe_L.c.,HMDB0000159
o2[x],O2,108,C00007,HMDB01377,FALSE,[x],o2,o2.x.,HMDB0001377
leu_L[c],L-leucine,108,C00123,HMDB00687,FALSE,[c],leu_L,leu_L.c.,HMDB0000687
h[l],proton,106,C00282,HMDB01362,FALSE,[l],h,h.l.,HMDB0001362
cys_L[c],L-cysteine,104,C00097,HMDB00574,FALSE,[c],cys_L,cys_L.c.,HMDB0000574
o2[r],O2,104,C00007,HMDB01377,FALSE,[r],o2,o2.r.,HMDB0001377
pro_L[c],L-proline,104,C00148,HMDB00162,FALSE,[c],pro_L,pro_L.c.,HMDB0000162
met_L[c],L-methionine,102,C00073,HMDB00696,FALSE,[c],met_L,met_L.c.,HMDB0000696
tyr_L[c],L-tyrosine,101,C00082,HMDB00158,FALSE,[c],tyr_L,tyr_L.c.,HMDB0000158
nadh[x],Nicotinamide adenine dinucleotide - reduced,100,C00004,HMDB01487,FALSE,[x],nadh,nadh.x.,HMDB0001487
nad[x],Nicotinamide adenine dinucleotide,99,C00003,HMDB00902,FALSE,[x],nad,nad.x.,HMDB0000902
asn_L[c],L-asparagine,98,C00152,HMDB00168,FALSE,[c],asn_L,asn_L.c.,HMDB0000168
thr_L[c],L-threonine,98,C00188,HMDB00167,FALSE,[c],thr_L,thr_L.c.,HMDB0000167
val_L[c],L-valine,98,C00183,HMDB00883,FALSE,[c],val_L,val_L.c.,HMDB0000883
co2[c],carbon dioxide,97,C00011,HMDB01967,FALSE,[c],co2,co2.c.,HMDB0001967
trp_L[c],L-tryptophan,97,C00078,HMDB00929,FALSE,[c],trp_L,trp_L.c.,HMDB0000929
h2o2[x],Hydrogen peroxide,96,C00027,HMDB03125,FALSE,[x],h2o2,h2o2.x.,HMDB0003125
ile_L[c],L-isoleucine,96,C00407,HMDB00172,FALSE,[c],ile_L,ile_L.c.,HMDB0000172
glu_L[c],L-glutamate(1-),95,C00025,HMDB00148,FALSE,[c],glu_L,glu_L.c.,HMDB0000148
arg_L[c],L-argininium(1+),95,C00062,HMDB00517,FALSE,[c],arg_L,arg_L.c.,HMDB0000517
gthrd[c],Reduced glutathione,94,C00051,HMDB00125,FALSE,[c],gthrd,gthrd.c.,HMDB0000125
his_L[c],L-histidine,92,C00135,HMDB00177,FALSE,[c],his_L,his_L.c.,HMDB0000177
lys_L[c],L-lysinium(1+),91,C00047,HMDB00182,FALSE,[c],lys_L,lys_L.c.,HMDB0000182
atp[m],ATP,87,C00002,HMDB00538,FALSE,[m],atp,atp.m.,HMDB0000538
accoa[x],Acetyl-CoA,82,C00024,HMDB01206,FALSE,[x],accoa,accoa.x.,HMDB0001206
so4[l],sulfate,75,C00059,HMDB01448,FALSE,[l],so4,so4.l.,HMDB0001448
adp[m],ADP,71,C00008,HMDB01341,FALSE,[m],adp,adp.m.,HMDB0001341
leu_L[e],L-leucine,69,C00123,HMDB00687,FALSE,[e],leu_L,leu_L.e.,HMDB0000687
phe_L[e],L-phenylalanine,69,C00079,HMDB00159,FALSE,[e],phe_L,phe_L.e.,HMDB0000159
nh4[c],Ammonium,68,C00014,HMDB00051,FALSE,[c],nh4,nh4.c.,HMDB0000051
h2o2[c],Hydrogen peroxide,66,C00027,HMDB03125,FALSE,[c],h2o2,h2o2.c.,HMDB0003125
gly[e],Glycine,65,C00037,HMDB00123,FALSE,[e],gly,gly.e.,HMDB0000123
o2[m],O2,64,C00007,HMDB01377,FALSE,[m],o2,o2.m.,HMDB0001377
ala_L[e],L-alanine,63,C00041,HMDB00161,FALSE,[e],ala_L,ala_L.e.,HMDB0000161
gln_L[e],L-glutamine,63,C00064,HMDB00641,FALSE,[e],gln_L,gln_L.e.,HMDB0000641
ile_L[e],L-isoleucine,63,C00407,HMDB00172,FALSE,[e],ile_L,ile_L.e.,HMDB0000172
cys_L[e],L-cysteine,62,C00097,HMDB00574,FALSE,[e],cys_L,cys_L.e.,HMDB0000574
ser_L[e],L-serine,62,C00065,HMDB00187,FALSE,[e],ser_L,ser_L.e.,HMDB0000187
pro_L[e],L-proline,62,C00148,HMDB00162,FALSE,[e],pro_L,pro_L.e.,HMDB0000162
asn_L[e],L-asparagine,61,C00152,HMDB00168,FALSE,[e],asn_L,asn_L.e.,HMDB0000168
val_L[e],L-valine,61,C00183,HMDB00883,FALSE,[e],val_L,val_L.e.,HMDB0000883
thr_L[e],L-threonine,60,C00188,HMDB00167,FALSE,[e],thr_L,thr_L.e.,HMDB0000167
met_L[e],L-methionine,60,C00073,HMDB00696,FALSE,[e],met_L,met_L.e.,HMDB0000696
tyr_L[e],L-tyrosine,60,C00082,HMDB00158,FALSE,[e],tyr_L,tyr_L.e.,HMDB0000158
trp_L[e],L-tryptophan,59,C00078,HMDB00929,FALSE,[e],trp_L,trp_L.e.,HMDB0000929
coa[r],Coenzyme A,58,C00010,HMDB01423,FALSE,[r],coa,coa.r.,HMDB0001423
hom_L[e],L-homoserine,58,C00263,HMDB00719,FALSE,[e],hom_L,hom_L.e.,HMDB0000719
crn[m],L-Carnitine,57,C15025,HMDB00062,FALSE,[m],crn,crn.m.,HMDB0000062
hom_L[c],L-homoserine,57,C00263,HMDB00719,FALSE,[c],hom_L,hom_L.c.,HMDB0000719
HC02199[e],glutathionyl-leuc4,56,,,FALSE,[e],HC02199,HC02199.e.,
HC02200[e],S-glutathionyl-2-4-dinitrobenzene,56,,,FALSE,[e],HC02200,HC02200.e.,
HC02201[e],S-glutathionyl-ethacrynic-acid,56,,,FALSE,[e],HC02201,HC02201.e.,
udpgal[g],UDP-D-galactose(2-),55,C00052,HMDB00302,FALSE,[g],udpgal,udpgal.g.,HMDB0000302
gthrd[e],Reduced glutathione,55,C00051,HMDB00125,FALSE,[e],gthrd,gthrd.e.,HMDB0000125
HC02199[c],glutathionyl-leuc4,55,,,FALSE,[c],HC02199,HC02199.c.,
HC02200[c],S-glutathionyl-2-4-dinitrobenzene,55,,,FALSE,[c],HC02200,HC02200.c.,
HC02201[c],S-glutathionyl-ethacrynic-acid,55,,,FALSE,[c],HC02201,HC02201.c.,
h[n],proton,54,C00282,HMDB01362,FALSE,[n],h,h.n.,HMDB0001362
akg[c],2-Oxoglutarate,52,C00026,HMDB00208,FALSE,[c],akg,akg.c.,HMDB0000208
citr_L[c],L-citrulline,52,C00327,HMDB00904,FALSE,[c],citr_L,citr_L.c.,HMDB0000904
asp_L[c],L-aspartate(1-),51,C00049,HMDB00191,FALSE,[c],asp_L,asp_L.c.,HMDB0000191
udp[c],UDP,51,C00015,HMDB00295,FALSE,[c],udp,udp.c.,HMDB0000295
orn[c],Ornithine,51,C00077,HMDB00214,FALSE,[c],orn,orn.c.,HMDB0000214
pi[m],hydrogenphosphate,49,C00009,HMDB00973,FALSE,[m],pi,pi.m.,HMDB0001429
acgam[l],N-acetyl-D-glucosamine,48,C00140,HMDB00215,FALSE,[l],acgam,acgam.l.,HMDB0000215
arg_L[e],L-argininium(1+),47,C00062,HMDB00517,FALSE,[e],arg_L,arg_L.e.,HMDB0000517
uacgam[g],UDP-N-acetyl-alpha-D-glucosamine(2-),45,C00043,HMDB00290,FALSE,[g],uacgam,uacgam.g.,HMDB0000290
his_L[e],L-histidine,44,C00135,HMDB00177,FALSE,[e],his_L,his_L.e.,HMDB0000177
paps[g],"(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate",44,C00053,HMDB01134,FALSE,[g],paps,paps.g.,HMDB0001134
pap[g],"adenosine 3',5'-bismonophosphate(4-)",44,C00054,HMDB00061,FALSE,[g],pap,pap.g.,HMDB0000061
glu_L[m],L-glutamate(1-),42,C00025,HMDB00148,FALSE,[m],glu_L,glu_L.m.,HMDB0000148
akg[m],2-Oxoglutarate,41,C00026,HMDB00208,FALSE,[m],akg,akg.m.,HMDB0000208
co2[m],carbon dioxide,41,C00011,HMDB01967,FALSE,[m],co2,co2.m.,HMDB0001967
amet[c],S-Adenosyl-L-methionine,41,C00019,HMDB01185,FALSE,[c],amet,amet.c.,HMDB0001185
ahcys[c],S-Adenosyl-L-homocysteine,41,C00021,HMDB00939,FALSE,[c],ahcys,ahcys.c.,HMDB0000939
lys_L[e],L-lysinium(1+),41,C00047,HMDB00182,FALSE,[e],lys_L,lys_L.e.,HMDB0000182
atp[r],ATP,40,C00002,HMDB00538,FALSE,[r],atp,atp.r.,HMDB0000538
h2o[g],Water,40,C00001,HMDB02111,FALSE,[g],h2o,h2o.g.,HMDB0002111
pyr[c],pyruvate,39,C00022,HMDB00243,FALSE,[c],pyr,pyr.c.,HMDB0000243
h2o[n],Water,38,C00001,HMDB02111,FALSE,[n],h2o,h2o.n.,HMDB0002111
cl[e],Chloride,38,C00698,HMDB00492,FALSE,[e],cl,cl.e.,HMDB0000492
orn[e],Ornithine,38,C00077,HMDB00214,FALSE,[e],orn,orn.e.,HMDB0000214
udp[r],UDP,38,C00015,HMDB00295,FALSE,[r],udp,udp.r.,HMDB0000295
citr_L[e],L-citrulline,38,C00327,HMDB00904,FALSE,[e],citr_L,citr_L.e.,HMDB0000904
cl[c],Chloride,37,C00698,HMDB00492,FALSE,[c],cl,cl.c.,HMDB0000492
cmp[g],CMP,35,C00055,HMDB00095,FALSE,[g],cmp,cmp.g.,HMDB0000095
udpglcur[r],UDP-D-glucuronate,35,C00167,HMDB00935,FALSE,[r],udpglcur,udpglcur.r.,HMDB0000935
accoa[c],Acetyl-CoA,34,C00024,HMDB01206,FALSE,[c],accoa,accoa.c.,HMDB0001206
atp[n],ATP,34,C00002,HMDB00538,FALSE,[n],atp,atp.n.,HMDB0000538
cmpacna[g],CMP-N-acetyl-beta-neuraminate(2-),34,C00128,HMDB01176,FALSE,[g],cmpacna,cmpacna.g.,HMDB0001176
malcoa[c],Malonyl-CoA,32,C00083,HMDB01175,FALSE,[c],malcoa,malcoa.c.,HMDB0001175
ac[c],acetate,32,C00033,HMDB00042,FALSE,[c],ac,ac.c.,HMDB0000042
ppi[r],Diphosphate,31,C00013,HMDB00250,FALSE,[r],ppi,ppi.r.,HMDB0000250
adp[n],ADP,31,C00008,HMDB01341,FALSE,[n],adp,adp.n.,HMDB0001341
ascb_L[c],L-ascorbate,30,C00072,HMDB00044,FALSE,[c],ascb_L,ascb_L.c.,HMDB0000044
pi[e],hydrogenphosphate,29,C00009,HMDB00973,FALSE,[e],pi,pi.e.,HMDB0001429
chsterol[r],cholesterol,29,C00187,HMDB00067,FALSE,[r],chsterol,chsterol.r.,HMDB0000067
gal[l],D-Galactose,29,C00984,HMDB00143,FALSE,[l],gal,gal.l.,HMDB0000143
udpglcur[c],UDP-D-glucuronate,29,C00167,HMDB00935,FALSE,[c],udpglcur,udpglcur.c.,HMDB0000935
dadp[c],dADP,28,C00206,HMDB01508,FALSE,[c],dadp,dadp.c.,HMDB0001508
arachd[c],arachidonate,27,C00219,HMDB01043,FALSE,[c],arachd,arachd.c.,HMDB0001043
co2[r],carbon dioxide,27,C00011,HMDB01967,FALSE,[r],co2,co2.r.,HMDB0001967
dcdp[c],dCDP,27,C00705,HMDB01245,FALSE,[c],dcdp,dcdp.c.,HMDB0001245
ump[c],UMP,27,C00105,HMDB00288,FALSE,[c],ump,ump.c.,HMDB0000288
gdp[c],GDP,26,C00035,HMDB01201,FALSE,[c],gdp,gdp.c.,HMDB0001201
amp[r],AMP,26,C00020,HMDB00045,FALSE,[r],amp,amp.r.,HMDB0000045
nad[r],Nicotinamide adenine dinucleotide,26,C00003,HMDB00902,FALSE,[r],nad,nad.r.,HMDB0000902
nadh[r],Nicotinamide adenine dinucleotide - reduced,26,C00004,HMDB01487,FALSE,[r],nadh,nadh.r.,HMDB0001487
nadph[x],Nicotinamide adenine dinucleotide phosphate - reduced,26,C00005,HMDB00221,FALSE,[x],nadph,nadph.x.,HMDB0000221
nadp[x],Nicotinamide adenine dinucleotide phosphate,26,C00006,HMDB00217,FALSE,[x],nadp,nadp.x.,HMDB0000217
for[c],Formate,25,C00058,HMDB00142,FALSE,[c],for,for.c.,HMDB0000142
gdpfuc[g],GDP-L-fucose(2-),25,C00325,HMDB01095,FALSE,[g],gdpfuc,gdpfuc.g.,HMDB0001095
gdp[g],GDP,25,C00035,HMDB01201,FALSE,[g],gdp,gdp.g.,HMDB0001201
atp[x],ATP,24,C00002,HMDB00538,FALSE,[x],atp,atp.x.,HMDB0000538
dgdp[c],dGDP,24,C00361,HMDB00960,FALSE,[c],dgdp,dgdp.c.,HMDB0000960
so4[c],sulfate,24,C00059,HMDB01448,FALSE,[c],so4,so4.c.,HMDB0001448
ppi[m],Diphosphate,23,C00013,HMDB00250,FALSE,[m],ppi,ppi.m.,HMDB0000250
ACP[c],acyl carrier protein,23,,,FALSE,[c],ACP,ACP.c.,
glc_D[e],D-glucose,23,C00031,HMDB00122,FALSE,[e],glc_D,glc_D.e.,HMDB0000122
h2o2[m],Hydrogen peroxide,23,C00027,HMDB03125,FALSE,[m],h2o2,h2o2.m.,HMDB0003125
pi[r],hydrogenphosphate,23,C00009,HMDB00973,FALSE,[r],pi,pi.r.,HMDB0001429
crn[x],L-Carnitine,23,C15025,HMDB00062,FALSE,[x],crn,crn.x.,HMDB0000062
pi[l],hydrogenphosphate,22,C00009,HMDB00973,FALSE,[l],pi,pi.l.,HMDB0001429
q10[m],ubiquinone-10,22,C11378,HMDB01072,FALSE,[m],q10,q10.m.,HMDB0001072
crn[r],L-Carnitine,22,C15025,HMDB00062,FALSE,[r],crn,crn.r.,HMDB0000062
datp[c],dATP,21,C00131,HMDB01532,FALSE,[c],datp,datp.c.,HMDB0001532
o2s[c],superoxide,21,C00704,HMDB02168,FALSE,[c],o2s,o2s.c.,HMDB0002168
dhdascb[c],dehydroascorbide(1-),21,C00425,HMDB01264,FALSE,[c],dhdascb,dhdascb.c.,HMDB0001264
glc_D[c],D-glucose,21,C00031,HMDB00122,FALSE,[c],glc_D,glc_D.c.,HMDB0000122
ctp[c],CTP,21,C00063,HMDB00082,FALSE,[c],ctp,ctp.c.,HMDB0000082
q10h2[m],Ubiquinol-10,21,C00390,HMDB13111,FALSE,[m],q10h2,q10h2.m.,HMDB0013111
dudp[c],dUDP,21,C01346,HMDB01000,FALSE,[c],dudp,dudp.c.,HMDB0001000
glu_L[l],L-glutamate(1-),21,C00025,HMDB00148,FALSE,[l],glu_L,glu_L.l.,HMDB0000148
gthrd[m],Reduced glutathione,21,C00051,HMDB00125,FALSE,[m],gthrd,gthrd.m.,HMDB0000125
retn[c],all-trans-retinoate,21,C00777,HMDB01852,FALSE,[c],retn,retn.c.,HMDB0001852
paps[c],"(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate",20,C00053,HMDB01134,FALSE,[c],paps,paps.c.,HMDB0001134
pap[c],"adenosine 3',5'-bismonophosphate(4-)",20,C00054,HMDB00061,FALSE,[c],pap,pap.c.,HMDB0000061
cmp[c],CMP,20,C00055,HMDB00095,FALSE,[c],cmp,cmp.c.,HMDB0000095
dolp_L[r],dolichyl phosphate(2-),20,,,FALSE,[r],dolp_L,dolp_L.r.,
dadp[m],dADP,20,C00206,HMDB01508,FALSE,[m],dadp,dadp.m.,HMDB0001508
ppi[x],Diphosphate,20,C00013,HMDB00250,FALSE,[x],ppi,ppi.x.,HMDB0000250
occoa[m],Octanoyl-CoA (n-C8:0CoA),20,C01944,HMDB01070,FALSE,[m],occoa,occoa.m.,HMDB0001070
ppcoa[m],Propanoyl-CoA,19,C00100,HMDB01275,FALSE,[m],ppcoa,ppcoa.m.,HMDB0001275
amp[m],AMP,19,C00020,HMDB00045,FALSE,[m],amp,amp.m.,HMDB0000045
gtp[c],GTP,19,C00044,HMDB01273,FALSE,[c],gtp,gtp.c.,HMDB0001273
glu_L[e],L-glutamate(1-),19,C00025,HMDB00148,FALSE,[e],glu_L,glu_L.e.,HMDB0000148
dgdp[m],dGDP,19,C00361,HMDB00960,FALSE,[m],dgdp,dgdp.m.,HMDB0000960
dtdp[c],dTDP,19,C00363,HMDB01274,FALSE,[c],dtdp,dtdp.c.,HMDB0001274
lac_L[c],(S)-lactate,19,C00186,HMDB00190,FALSE,[c],lac_L,lac_L.c.,HMDB0000190
acgal[l],N-acetyl-D-galactosamine,18,C01132,HMDB00212,FALSE,[l],acgal,acgal.l.,HMDB0000212
gly[m],Glycine,18,C00037,HMDB00123,FALSE,[m],gly,gly.m.,HMDB0000123
amp[x],AMP,18,C00020,HMDB00045,FALSE,[x],amp,amp.x.,HMDB0000045
succ[c],Succinate,18,C00042,HMDB00254,FALSE,[c],succ,succ.c.,HMDB0000254
dolp_U[r],dolichyl phosphate(2-),18,,,FALSE,[r],dolp_U,dolp_U.r.,
dtdp[m],dTDP,18,C00363,HMDB01274,FALSE,[m],dtdp,dtdp.m.,HMDB0001274
glyc3p[c],Glycerol 3-phosphate,18,C00093,HMDB00126,FALSE,[c],glyc3p,glyc3p.c.,HMDB0000126
succ[m],Succinate,18,C00042,HMDB00254,FALSE,[m],succ,succ.m.,HMDB0000254
dopa[c],dopaminium(1+),17,C03758,HMDB00073,FALSE,[c],dopa,dopa.c.,HMDB0000073
cit[c],Citrate,17,C00158,HMDB00094,FALSE,[c],cit,cit.c.,HMDB0000094
icit[m],Isocitrate,17,C00311,HMDB00193,FALSE,[m],icit,icit.m.,HMDB0000193
pmtcoa[c],Palmitoyl-CoA (n-C16:0CoA),17,C00154,HMDB01338,FALSE,[c],pmtcoa,pmtcoa.c.,HMDB0001338
utp[c],UTP,17,C00075,HMDB00285,FALSE,[c],utp,utp.c.,HMDB0000285
dgtp[c],dGTP,17,C00286,HMDB01440,FALSE,[c],dgtp,dgtp.c.,HMDB0001440
dudp[m],dUDP,17,C01346,HMDB01000,FALSE,[m],dudp,dudp.m.,HMDB0001000
man[g],D-Mannose,17,C00159,HMDB00169,FALSE,[g],man,man.g.,HMDB0000169
malcoa[r],Malonyl-CoA,17,C00083,HMDB01175,FALSE,[r],malcoa,malcoa.r.,HMDB0001175
pyr[m],pyruvate,16,C00022,HMDB00243,FALSE,[m],pyr,pyr.m.,HMDB0000243
acac[c],acetoacetate,16,C00164,HMDB00060,FALSE,[c],acac,acac.c.,HMDB0000060
udpacgal[g],UDP-N-acetyl-D-galactosamine(2-),16,C00203,HMDB00304,FALSE,[g],udpacgal,udpacgal.g.,HMDB0000304
ppa[c],propionate,16,C00163,HMDB00237,FALSE,[c],ppa,ppa.c.,HMDB0000237
mal_L[c],(S)-malate(2-),16,C00149,HMDB00156,FALSE,[c],mal_L,mal_L.c.,HMDB0000156
Rtotalcoa[c],R total Coenzyme A,16,,,FALSE,[c],Rtotalcoa,Rtotalcoa.c.,
R2coa_hs[c],R group 2 Coenzyme A,16,,,FALSE,[c],R2coa_hs,R2coa_hs.c.,
stcoa[c],Stearoyl-CoA (n-C18:0CoA),16,C00412,HMDB01114,FALSE,[c],stcoa,stcoa.c.,HMDB0001114
dcdp[m],dCDP,16,C00705,HMDB01245,FALSE,[m],dcdp,dcdp.m.,HMDB0001245
pe_hs[r],phosphatidylethanolamine,16,,,FALSE,[r],pe_hs,pe_hs.r.,
ac[e],acetate,15,C00033,HMDB00042,FALSE,[e],ac,ac.e.,HMDB0000042
icit[c],Isocitrate,15,C00311,HMDB00193,FALSE,[c],icit,icit.c.,HMDB0000193
nh4[e],Ammonium,15,C00014,HMDB00051,FALSE,[e],nh4,nh4.e.,HMDB0000051
thf[c],"5,6,7,8-Tetrahydrofolate",15,C00101,HMDB01846,FALSE,[c],thf,thf.c.,HMDB0001846
mal_L[m],(S)-malate(2-),15,C00149,HMDB00156,FALSE,[m],mal_L,mal_L.m.,HMDB0000156
odecoa[c],Octadecenoyl-CoA (n-C18:1CoA),15,C00510,HMDB01322,FALSE,[c],odecoa,odecoa.c.,HMDB0001322
adp[r],ADP,15,C00008,HMDB01341,FALSE,[r],adp,adp.r.,HMDB0001341
gdpmann[c],GDP-alpha-D-mannose(2-),15,C00096,HMDB01163,FALSE,[c],gdpmann,gdpmann.c.,HMDB0001163
pchol_hs[c],Phosphatidylcholine,15,,,FALSE,[c],pchol_hs,pchol_hs.c.,
cdp[c],CDP,15,C00112,HMDB01546,FALSE,[c],cdp,cdp.c.,HMDB0001546
fad[c],Flavin adenine dinucleotide oxidized,15,C00016,HMDB01248,FALSE,[c],fad,fad.c.,HMDB0001248
gchola[e],glycocholate,15,C01921,HMDB00138,FALSE,[e],gchola,gchola.e.,HMDB0000138
h2o2[e],Hydrogen peroxide,15,C00027,HMDB03125,FALSE,[e],h2o2,h2o2.e.,HMDB0003125
tchola[e],taurocholate,15,,HMDB00036,FALSE,[e],tchola,tchola.e.,HMDB0000036
gthrd[r],Reduced glutathione,15,C00051,HMDB00125,FALSE,[r],gthrd,gthrd.r.,HMDB0000125
taur[c],Taurine,15,C00245,HMDB00251,FALSE,[c],taur,taur.c.,HMDB0000251
ppcoa[c],Propanoyl-CoA,14,C00100,HMDB01275,FALSE,[c],ppcoa,ppcoa.c.,HMDB0001275
pep[c],Phosphoenolpyruvate,14,C00074,HMDB00263,FALSE,[c],pep,pep.c.,HMDB0000263
cit[m],Citrate,14,C00158,HMDB00094,FALSE,[m],cit,cit.m.,HMDB0000094
adn[c],Adenosine,14,C00212,HMDB00050,FALSE,[c],adn,adn.c.,HMDB0000050
fald[c],formaldehyde,14,C00067,HMDB01426,FALSE,[c],fald,fald.c.,HMDB0001426
dhap[c],Dihydroxyacetone phosphate,14,C00111,HMDB01473,FALSE,[c],dhap,dhap.c.,HMDB0001473
lys_L[m],L-lysinium(1+),14,C00047,HMDB00182,FALSE,[m],lys_L,lys_L.m.,HMDB0000182
dolmanp_L[r],"Dolichyl phosphate D-mannose, human liver homolog",14,,,FALSE,[r],dolmanp_L,dolmanp_L.r.,
dag_hs[c],diglyceride,14,,,FALSE,[c],dag_hs,dag_hs.c.,
oxa[c],oxalate(2-),14,C00209,HMDB02329,FALSE,[c],oxa,oxa.c.,HMDB0002329
f6p[c],D-Fructose 6-phosphate,14,C00085,HMDB00124,FALSE,[c],f6p,f6p.c.,HMDB0000124
glcur[l],D-glucuronate,14,C00191,HMDB00127,FALSE,[l],glcur,glcur.l.,HMDB0000127
gthrd[x],Reduced glutathione,14,C00051,HMDB00125,FALSE,[x],gthrd,gthrd.x.,HMDB0000125
CE0328[c],docosahexaenoate,14,C06429,HMDB02183,FALSE,[c],CE0328,CE0328.c.,HMDB0002183
nrpphr[c],Norepinephrine,13,C00547,HMDB00216,FALSE,[c],nrpphr,nrpphr.c.,HMDB0000216
acald[c],acetaldehyde,13,C00084,HMDB00990,FALSE,[c],acald,acald.c.,HMDB0000990
akg[e],2-Oxoglutarate,13,C00026,HMDB00208,FALSE,[e],akg,akg.e.,HMDB0000208
